Actual Spending,Purchase Frequency,Frequency,Value,RFM_Segment_Label
399.0,1,1,3,Low_Value
129.0,1,1,1,Low_Value
259.0,1,1,2,Low_Value
1448.0,2,4,4,Low_Value
328.0,1,1,3,Low_Value
349.0,1,1,3,Low_Value
330.0,1,1,3,Low_Value
778.0,1,1,4,Low_Value
399.0,1,1,3,Low_Value
150.0,1,1,1,Low_Value
292.0,1,1,2,Low_Value
624.0,2,4,4,Low_Value
341.0,1,1,3,Low_Value
115.0,1,1,1,Low_Value
218.0,1,1,2,Low_Value
949.0,1,1,4,Low_Value
599.0,1,1,4,Low_Value
329.0,1,1,3,Low_Value
300.0,1,1,3,Low_Value
350.0,1,1,3,Low_Value
351.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
129.0,1,1,1,Low_Value
149.0,1,1,1,Low_Value
598.0,2,4,4,Low_Value
90.0,1,1,1,Low_Value
199.0,1,1,1,Low_Value
738.0,2,4,4,Low_Value
420.0,1,1,3,Low_Value
161.0,1,1,1,Low_Value
399.0,1,1,3,Low_Value
293.0,1,1,2,Low_Value
199.0,1,1,1,Low_Value
269.0,3,4,2,Low_Value
649.0,1,1,4,Low_Value
1047.0,3,4,4,Low_Value
265.0,1,1,2,Low_Value
178.0,1,1,1,Low_Value
753.0,1,1,4,Low_Value
369.0,1,1,3,Low_Value
416.0,1,1,3,Low_Value
240.0,2,4,2,Low_Value
209.0,1,1,2,Low_Value
499.0,1,1,4,Low_Value
119.0,1,1,1,Low_Value
179.0,1,1,1,Low_Value
149.0,1,1,1,Low_Value
185.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
116.0,1,1,1,Low_Value
349.0,1,1,3,Low_Value
279.0,1,1,2,Low_Value
529.89,3,4,4,Low_Value
199.0,1,1,1,Low_Value
570.0,1,1,4,Low_Value
99.0,1,1,1,Low_Value
368.0,1,1,3,Low_Value
169.0,1,1,1,Low_Value
39.0,1,1,1,Low_Value
649.0,1,1,4,Low_Value
191.0,1,1,1,Low_Value
129.0,1,1,1,Low_Value
419.0,1,1,3,Low_Value
399.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
